PLANT NAME,OPERATING COMPANY,WEBSITE NAME,CONTACT URL
Hanbit (Yonggwang) Nuclear Power Plant South Korea,Korea Electric and Power Company (KEPCO),Contact Us | Kepco Philippines,http://kepcophilippines.com/contact-us
Hanul (Ulchin) Nuclear Power Plant Korea,Korea Hydro and Nuclear Power Co.,Patent US8085895 - Spacer grid spring for increasing the ...,http://www.google.com/patents/US8085895
Kori Nuclear Power Plant Korea,Korea Hydro and Nuclear Power Co.,Patent US8085895 - Spacer grid spring for increasing the ...,http://www.google.com/patents/US8085895
Shin-Kori Nuclear Power Plant South Korea,Korea Hydro & Nuclear Power,Korea Hydro Nuclear Power Abu Dhabi Hr Office Email ...,http://uae-jobs.jobzed.com/search/korea-hydro-nuclear-power-abu-dhabi-hr-office-email-contact/
Shin-Wolsong Nuclear Power Plant South Korea,Korea Hydro and Nuclear Power Co.,Patent US8085895 - Spacer grid spring for increasing the ...,http://www.google.com/patents/US8085895
Wolsong Nuclear Power Plant Korea,Korea Hydro and Nuclear Power Co.,Patent US8085895 - Spacer grid spring for increasing the ...,http://www.google.com/patents/US8085895
Cernavoda Nuclear Power Plant Romania,SOCIETATEA NATIONALA NUCLEARELECTRICA S.A.,"I.1) DENUMIREA, ADRESA SI PUNCT(E) DE CONTACT: Societatea ...",http://www.ziuaconstanta.ro/images/stories/2015/12/27/rodica/licitatie.pdf
Balakovo Nuclear Power Plant  Russia,Energoatom (previously ROSENERGOATOM) www.rosenergoatom.ru,АО «Концерн Росэнергоатом»,http://www.rosenergoatom.ru/
Beloyarskiy Nuclear Power Plant Russia,Energoatom (previously ROSENERGOATOM) www.rosenergoatom.ru,АО «Концерн Росэнергоатом»,http://www.rosenergoatom.ru/
Bilibino Nuclear Power Plant  Russia,Energoatom (previously ROSENERGOATOM) www.rosenergoatom.ru,АО «Концерн Росэнергоатом»,http://www.rosenergoatom.ru/
Kalinin Nuclear Power Plant Russia,Energoatom (previously ROSENERGOATOM) www.rosenergoatom.ru,АО «Концерн Росэнергоатом»,http://www.rosenergoatom.ru/
Kola Nuclear Power Plant Russia,Energoatom (previously ROSENERGOATOM) www.rosenergoatom.ru,АО «Концерн Росэнергоатом»,http://www.rosenergoatom.ru/
Kursk Nuclear Power Plant Russia,Energoatom (previously ROSENERGOATOM) www.rosenergoatom.ru,АО «Концерн Росэнергоатом»,http://www.rosenergoatom.ru/
Leningrad Nuclear Power Plant Russia,Energoatom (previously ROSENERGOATOM) www.rosenergoatom.ru,АО «Концерн Росэнергоатом»,http://www.rosenergoatom.ru/
Novovoronezh Nuclear Power Plant Russia,Energoatom (previously ROSENERGOATOM) www.rosenergoatom.ru,АО «Концерн Росэнергоатом»,http://www.rosenergoatom.ru/
Rostov (Volgodonsk) Nuclear Power Plant Russia,Energoatom (previously ROSENERGOATOM) www.rosenergoatom.ru,АО «Концерн Росэнергоатом»,http://www.rosenergoatom.ru/
Smolensk Nuclear Power Plant Russia,Energoatom (previously ROSENERGOATOM) www.rosenergoatom.ru,АО «Концерн Росэнергоатом»,http://www.rosenergoatom.ru/
Krsko Nuclear Power Reactor Slovenia,NUKLEARNA ELEKTRARNA KRSKO,IDOM | Contact & Offices addresses,https://www.idom.com/contact/
Koeberg Nuclear Power Plant South Africa,Eskom,Leaders at South Africa's Eskom Promise Sweep Lenders Seek ...,https://www.bloomberg.com/news/articles/2018-01-30/leaders-at-south-africa-s-eskom-promise-clean-sweep-lenders-seek
SAFARI-1 Research Reactor South Africa,The South African Nuclear Energy Corporation (NECSA),Contact Us - Necsa,http://necsa.co.za/About-US/Contact-Us
Asco Nuclear Power Plant Spain,Asociacion Nuclear Asco-Vandellos (ANAV),Contact - ANAV,http://anav.es/en/contact/
Cofrentes Nuclear Power Plant Spain,"IBERDROLA, S.A.",Contact number - Iberdrola,https://www.iberdrola.com/contact
Vandellos Nuclear Power Plant Spain,ANAV (Asociacion Nuclear Asco-Vandellos),Contact - ANAV,http://anav.es/en/contact/
Forsmark Nuclear Power Plant Sweden,FORSMARK KRAFTGRUPP AB,Medarbetare till Byggkonstruktion på Forsmarks Kraftgrupp AB,https://corporate.vattenfall.com/careers/jobs/search-for-jobs/medarbetare-till-byggkonstruktion-pa-forsmarks-kraftgrupp-ab/
Oskarshamn Nuclear Power Plant Sweden,OKG AKTIEBOLAG,OKG - Contact,http://www.okg.se/en/About-OKG/Contact/
Ringhals Nuclear Power Plant Sweden,Ringhals AB,"Visit and contact us, Ringhals - Vattenfall",https://corporate.vattenfall.se/om-oss/var-verksamhet/var-elproduktion/ringhals/ringhals-nuclear-power-plant/visit-and-contact-us/
Beznau Nuclear Power Plant Switzerland,NOK NORDOSTSCHWEIZERISCHE KRAFTWERKE,Nok - Nordostschweizerische Kraftwerke - (contact Not ...,http://www.eurekanetwork.org/content/nok-nordostschweizerische-kraftwerke-contact-not-available
Goesgen Nuclear Power Plant Switzerland,KERNKRAFTWERK GOESGEN-DAENIKEN AG,CONTACT ENERGY LTD.: International Competitive Benchmarks ...,https://www.amazon.ca/CONTACT-ENERGY-LTD-International-Competitive/dp/0597364257
Leibstadt Nuclear Power Plant Switzerland,KERNKRAFTWERK LEIBSTADT,Contact - sax.ch,https://www.sax.ch/fr/Entreprise/contact.html
Muehlberg Nuclear Power Plant Switzerland,BKW ENERGIE AG,BKW: Contact,https://www.bkw.ch/en/seite/contact/
Khmelnitskiy Nuclear Power Plant Ukraine,National Nuclear Energy Generating Company Energoatom (NNEGC Energoatom),THE FOLLOWING APPLIES TO GOODS AND RELATED ... - Energoatom,http://www.energoatom.kiev.ua/files/file/invitation_for_tenders_rfp_23201_156_goods_1_eng_rev.4.pdf
Rovno (Rivne) Nuclear Power Plant Ukraine,National Nuclear Energy Generating Company Energoatom (NNEGC Energoatom),THE FOLLOWING APPLIES TO GOODS AND RELATED ... - Energoatom,http://www.energoatom.kiev.ua/files/file/invitation_for_tenders_rfp_23201_156_goods_1_eng_rev.4.pdf
South Ukraine Nuclear Power Plant Ukraine,National Nuclear Energy Generating Company Energoatom (NNEGC Energoatom),THE FOLLOWING APPLIES TO GOODS AND RELATED ... - Energoatom,http://www.energoatom.kiev.ua/files/file/invitation_for_tenders_rfp_23201_156_goods_1_eng_rev.4.pdf
Zaporozhye Nuclear Power Plant Ukraine,National Nuclear Energy Generating Company Energoatom (NNEGC Energoatom),THE FOLLOWING APPLIES TO GOODS AND RELATED ... - Energoatom,http://www.energoatom.kiev.ua/files/file/invitation_for_tenders_rfp_23201_156_goods_1_eng_rev.4.pdf
Hunterston-B Nuclear Power Plant United Kingdom,BRITISH ENERGY,BP - Official Site,https://www.bp.com/
Oldbury Nuclear Power Plant United Kingdom (Shutdown),BRITISH NUCLEAR FUELS LIMITED,Contact Address of British Nuclear Fuel Limited in ...,https://addresscustomerservicecenternumber.com/Address-Email-Website-Contact-Number-of-British-Nuclear-Fuel-Limited-in-Richland-WA/
Sizewell A Nuclear Power Plant UK (Shutdown),BRITISH NUCLEAR FUELS LIMITED,Handmark Engineering Contact,http://www.handmarkengineering.co.uk/contact.php
Wylfa Nuclear Power Plant United Kingdom,BRITISH NUCLEAR FUELS LIMITED,Handmark Engineering Contact,http://www.handmarkengineering.co.uk/contact.php
Arkansas Nuclear Power Plant United States of America,"Entergy Arkansas, Inc. for unit 1, ENTERGY (ENTERGY NUCLEAR) for unit 2",www.gpo.gov,https://www.gpo.gov/fdsys/pkg/FR-2002-09-18/mods.xml
Beaver Valley Nuclear Power Plant United States of America,FIRST ENERGY NUCLEAR OPERATING CO.,Contact Address of Firstenergy Nuclear Operating Company ...,https://addresscustomerservicecenternumber.com/Address-Email-Website-Contact-Number-of-Firstenergy-Nuclear-Operating-Company-in-Reading-PA/
Braidwood Nuclear Power Plant United States of America,Exelon Generation,Contact: Paul Adams FOR IMMEDIATE RELEASE Exelon Corporate ...,http://www.exeloncorp.com/newsroom/Documents/Exelon%20Generation%20Statement%20on%20EGTP%20-%2011.7.17.pdf
Browns Ferry Nuclear Power Plant United States of America,TENNESSEE VALLEY AUTHORITY,TVA - Contact Us - Tennessee Valley Authority,https://www.tva.gov/About-TVA/Contact-Us
Brunswick Nuclear Power Plant United States of America,"Progress Energy Carolinas, Inc.",Contact Us | Progress Energy Canada Ltd.,http://www.progressenergy.com/contact-us/
Byron Nuclear Power Plant United States of America,Exelon Generation,"Exelon Generation Co Llc XDate, Carrier History, Mod ...",https://www.insurancexdate.com/GA/epb1Z/exelon-generation-co-llc-atlanta
Callaway Nuclear Power Plant United States of America,AMERGEN ENERGY GENERATING CO.,Contact Center Benchmarking Network | Book and List,http://ccbn.org/xxxyyyzzz
Calvert Cliffs Nuclear Power Plant United States of America,Calvert Cliffs Nuclear Power Plant Inc.,Federal Register - GPO,https://www.gpo.gov/fdsys/pkg/FR-1998-05-12/mods.xml
Catawba Nuclear Power Plant United States of America,DUKE POWER CO.,Outage Reporting - Duke Energy,https://ols.duke-energy.com/037/ExtOutageReporting/ExtOutageReportingServlet
Clinton Nuclear Power Plant United States of America,Amergen Energy Generating Co.,Contact Center Benchmarking Network | Book and List,http://ccbn.org/xxxyyyzzz
