Grand Lake Coal Generating Station Canada (Shutdown),EPCOR (Owned by City of Edmonton),Working water ConneCtion Guide Together We work ... - EPCOR,https://www.epcor.com/products-services/water/water-service-new-developments/Documents/new-water-connection-getting-you-connected.pdf
H.R.Milner Coal Generating Station Canada,Milner Power Inc,Contact us today - Zedd Customer Solutions Inc.,http://zeddsolutions.com/contact-us/
Keephills Coal Power Plant Canada,TransAlta,Contact Us | TransAlta,http://www.transalta.com/contact/
Lakeview Coal Power Plant Canada (Shutdown),TransAlta,Contact Us | TransAlta,http://www.transalta.com/contact/
Lambton Coal Generating Station Canada (Shutdown),TransAlta,Contact Us | TransAlta,http://www.transalta.com/contact/
"Lingan Coal Generating Station, Canada",Nova Scotia Power,Contact Us - Nova Scotia Power,https://www.nspower.ca/en/home/contact-us/default.aspx
Nanticoke Coal Generating Station Canada (Mothballed),Ontario Power Generation,Ontario Power Generation | Contact OPG,https://www.opg.com/Pages/contact.aspx
Point Aconi Coal Generating Station Canada,Ontario Power Generation,Ontario Power Generation | Contact OPG,https://www.opg.com/Pages/contact.aspx
Point Tupper Coal Generating Station Canada,Ontario Power Generation,Ontario Power Generation | Contact OPG,https://www.opg.com/Pages/contact.aspx
"Poplar River Coal Power Station, Canada",Ontario Power Generation,Ontario Power Generation | Contact OPG,https://www.opg.com/Pages/contact.aspx
Shand Coal Power Station Canada,SaskPower International,Contact Us - SaskPower,http://www.saskpower.com/contact-us/
Sheerness Coal Generating Station Canada,SaskPower International,Contact Us - SaskPower,http://www.saskpower.com/contact-us/
Sundance Coal Generating Station Canada,TransAlta,Contact Us | TransAlta,http://www.transalta.com/contact/
Thunder Bay Generating Station Canada (Shutdown),TransAlta,Contact Us | TransAlta,http://www.transalta.com/contact/
Trenton Coal Generating Station Canada,Nova Scotia Power,Contact Us - Nova Scotia Power,https://www.nspower.ca/en/home/contact-us/default.aspx
Wabamun Coal Power Plant Canada (Shutdown),Nova Scotia Power,Contact Us - Nova Scotia Power,https://www.nspower.ca/en/home/contact-us/default.aspx
Andina Coal Power Plant Chile,E-CL,Contact Us - eClinicalWorks,https://www.eclinicalworks.com/about-us/contact-us/
Angamos Coal Power Plant Chile,AES Gener S.A.,Chile pledges end to traditional coal-fired power ...,http://www.bnamericas.com/en/news/electricpower/chile-pledges-end-to-traditional-coal-fired-power-generation/
Bocamina Coal Power Plant Chile,Endesa Chile,Endesa Contact Information | SupplyMine,http://www.infomine.com/suppliers/contactstandard.asp?id=19727
Hornitos Coal Power Plant Chile,E-CL,Contact Us - eClinicalWorks,https://www.eclinicalworks.com/about-us/contact-us/
Laguna Verde CoalPower Plant Chile,Energia Verde S.A.,Contact | Isthmus,http://isthmus.azurewebsites.net/contact/
Mejillones Coal Power Plant Chile,Edelnor,Tenjo Tenge Vol Full Contact - twigii.com,http://twigii.com/2108f/tenjo-tenge-vol-full-contact.pdf
Norgener Coal Power Plant Chile,AES Gener,Contact us - Generon | Pioneering Gas Solutions,https://www.generon.com/contact-us/
Santa Maria Coal Power Plant Chile,Colbun S.A.,Investor Contact - Colbún S.A.,https://www.colbun.cl/en/inversionistas/investor-contact/
Anhui Bengbu Power Plant China,China Guodian Corp,"Contact Aibing Guo, Bloomberg News - PressRush",https://www.pressrush.com/author/8197830/aibing-guo
Anhui Fuyang Huaren Coal Power Plant China,Fuyang China Resources Power Co Ltd,"Contact Us - Zhejiang Huafeng Pipe Industry Co., Ltd.",http://zjhfgy.com/contact-us/
